gene	cell	contrast	logFC	AveExpr	P.Value	adj.P.Val	sig	direction
Hs3st3b1	Mo	PR8_100_vs_Sham	2.39858638194307	8.57799667658217	3.06271207668995e-10	2.49454000041582e-08	TRUE	up
Hsd11b1	Mo	PR8_100_vs_Sham	-1.36218991487461	8.80294906462754	3.58925275235613e-06	6.48374608368622e-05	TRUE	down
Hsd17b4	Mo	PR8_100_vs_Sham	-1.33859139324292	8.79296449235436	1.53761629786274e-06	3.27690397433996e-05	TRUE	down
Hsd17b7	Mo	PR8_100_vs_Sham	-1.37128317443545	8.64629321356799	3.52344529826089e-06	6.41306556548339e-05	TRUE	down
Hspa1a	Mo	PR8_100_vs_Sham	-1.73116700310214	10.368870483876	0.000518291740327907	0.00405041958200593	TRUE	down
Hspa1b	Mo	PR8_100_vs_Sham	-1.5016171512494	11.8011397148844	0.00087598087661081	0.00628139512999821	TRUE	down
Hspb8	Mo	PR8_100_vs_Sham	1.08652222464099	7.57974668294784	0.000167278449205082	0.00159267791762483	TRUE	up
Htra4	Mo	PR8_100_vs_Sham	1.37661986795229	5.07560518580201	5.42154533485423e-05	0.000626059401762929	TRUE	up
Hvcn1	Mo	PR8_100_vs_Sham	2.098531134497	5.88430598239929	6.26490268867983e-06	0.000102946373236469	TRUE	up
I830077J02Rik	Mo	PR8_100_vs_Sham	1.91190826286329	9.04516546724501	1.75418374500794e-10	1.52927395619886e-08	TRUE	up
Icam2	Mo	PR8_100_vs_Sham	-1.1743724339712	7.814258514342	0.0001070469645079	0.00110108397618827	TRUE	down
Icosl	Mo	PR8_100_vs_Sham	1.71519517676641	7.34409733242429	5.00774658690141e-07	1.29481395998961e-05	TRUE	up
Id1	Mo	PR8_100_vs_Sham	1.07282243243831	7.41666277034606	0.000139829508700716	0.00137214671168299	TRUE	up
Idh1	Mo	PR8_100_vs_Sham	-2.00942455527464	6.7735358226954	3.44495692969745e-06	6.30852810752949e-05	TRUE	down
Idi1	Mo	PR8_100_vs_Sham	-1.31423828999938	10.2480611549386	4.15467474146277e-06	7.34757671128305e-05	TRUE	down
Ido1	Mo	PR8_100_vs_Sham	1.13073986409345	5.72551953954598	0.00234590481949216	0.0138598031140539	TRUE	up
Ier3	Mo	PR8_100_vs_Sham	1.4044344848537	11.5211124313172	3.04387270238338e-06	5.71797917859695e-05	TRUE	up
Ifi205	Mo	PR8_100_vs_Sham	1.04663398218284	11.4997909154274	0.0016218186421377	0.0102472626570404	TRUE	up
Ifi208	Mo	PR8_100_vs_Sham	1.46327759636589	12.3397615799827	7.79938613132972e-09	4.02674758167523e-07	TRUE	up
Ifi209	Mo	PR8_100_vs_Sham	1.5078045555758	10.181206325475	1.34243877050497e-08	6.41365149908419e-07	TRUE	up
Ifi213	Mo	PR8_100_vs_Sham	3.04135168634034	10.1381244401994	5.94827554934329e-13	1.3222520856561e-10	TRUE	up
Ifi214	Mo	PR8_100_vs_Sham	2.62639138352151	7.55037540735148	6.53564967845492e-09	3.4867691034557e-07	TRUE	up
Ifi27	Mo	PR8_100_vs_Sham	-1.2847002428045	8.64824295472102	7.19728165121207e-07	1.71162693651782e-05	TRUE	down
Ifi27l2a	Mo	PR8_100_vs_Sham	1.10225246067524	12.439538037578	2.92256743335898e-06	5.55655273571902e-05	TRUE	up
Ifi35	Mo	PR8_100_vs_Sham	1.77756872441041	8.07763147890388	1.89153854787124e-08	8.4658084610449e-07	TRUE	up
Ifi44	Mo	PR8_100_vs_Sham	4.08915050488318	9.6531266190388	1.28472924749832e-17	4.11241832124213e-14	TRUE	up
Ifi47	Mo	PR8_100_vs_Sham	1.60305176650305	11.3833286252476	4.50858940728309e-10	3.46922949344067e-08	TRUE	up
