gene	slope	AveExpr	t	P.Value	adj.P.Val	B
Atad3a	-0.0677072866405495	6.13412945379569	-0.531386779427651	0.601535734968069	0.846646038677944	-6.34644725507546
Cdh16	0.0276410496184919	4.80358295156305	0.531801587347739	0.60125412829746	0.846646038677944	-6.34622348589931
Coq7	-0.0519835350890409	5.4509420144106	-0.531395419039101	0.601529869012129	0.846646038677944	-6.34644259614051
Galr1	0.0210797377386494	4.71376244291091	0.531653898561862	0.601354384532737	0.846646038677944	-6.34630317638107
Klhl9	-0.0366676996919987	8.05845306044596	-0.531473373453952	0.601476942299121	0.846646038677944	-6.34640055568274
Or6z3	-0.0216385274121758	4.67178202892919	-0.531264764094295	0.601618581561028	0.846646038677944	-6.3465130443519
Ppig	0.0532092039686766	9.89593103922216	0.531339067525719	0.601568129974275	0.846646038677944	-6.34647298253189
Tmem229a	-0.0186040010660848	4.63169611496569	-0.531551878118696	0.601423644298532	0.846646038677944	-6.34635821243914
Foxp3	0.089774614451332	6.67949272970733	0.530992075337368	0.601803753324034	0.84674295195078	-6.34666002210282
Gm10010	-0.0713830871524485	7.46356648228211	-0.530946395414795	0.601834775411604	0.84674295195078	-6.34668463618131
Kel	0.0187496232466259	4.60818604705882	0.530778802407012	0.601948597642165	0.84674295195078	-6.3467749240896
Lrp5	0.0377523304873322	5.31094681917887	0.530695942394448	0.602004876616552	0.84674295195078	-6.34681955332101
Mknk2	-0.0297918281617034	10.8558188894322	-0.530708460273276	0.601996374239852	0.84674295195078	-6.34681281149924
Qtrt2	-0.0474198904534607	5.74114199816939	-0.530708658682734	0.601996239476922	0.84674295195078	-6.34681270463955
Phospho2	0.0322880136590956	9.36211074843095	0.53059202661025	0.602075460419508	0.846767815818473	-6.34687551385822
Dzip3	0.0489535879320641	5.15894526145335	0.530071865406347	0.602428835691552	0.847190362467559	-6.34715547049159
Pard6g	-0.0368951192620285	5.21860811646916	-0.529897366885429	0.60254740519847	0.847282658601433	-6.34724932795817
Cd8b1	-0.0475100466259323	11.0828772211356	-0.529799725008534	0.602613756570684	0.847301517518563	-6.34730183349755
Zfp119a	0.0416523836613573	5.18332281797604	0.52969301063598	0.602686277126575	0.847329046504817	-6.3473592069187
Lypd6b	-0.0260827016081921	4.68859380750367	-0.529605387253333	0.602745827082167	0.847338336622756	-6.34740630797403
Tsc22d1	-0.0380166800028363	5.32235564685621	-0.5295130026099	0.602808615959252	0.847352177975394	-6.34745596021799
Omd	0.0188357075419019	4.65595448464226	0.529293865242085	0.602957564609768	0.84742236953156	-6.347573702301
Ptprcap	0.0344891225998576	4.93022924362073	0.529283743076099	0.602964445124986	0.84742236953156	-6.34757913977986
Tmem150a	-0.0419068623985686	5.09546106056397	-0.529074130792264	0.603106937119033	0.84754820691809	-6.3476917177661
Ciapin1	0.0374264067928645	7.85857142839293	0.528863318139792	0.603250261666202	0.847675192095483	-6.34780489685077
Rnf44	-0.0465107804189665	11.0756538393841	-0.528590857979229	0.603435522903843	0.847712239451944	-6.34795110789663
Ttyh1	0.0380958788810774	5.0980158918275	0.528723743413168	0.603345163038095	0.847712239451944	-6.34787980634341
Vim	0.0437935344225149	10.2598316064878	0.528645888621932	0.603398102190112	0.847712239451944	-6.34792158253677
H2bc11	0.052608147985573	8.29672340272039	0.527920604487764	0.603891384505167	0.847721530342078	-6.34831047706593
Kcnk10	-0.0260407037494747	4.71847795430612	-0.528054751476578	0.603800133275515	0.847721530342078	-6.34823858698131
Mfsd4b5	0.029264067738285	4.70621546758312	0.528116313137873	0.603758259239933	0.847721530342078	-6.34820558983282
Mxra8	0.0420058672473699	4.85688046767642	0.52847295334124	0.603515701599899	0.847721530342078	-6.34801435674794
Pappa2	0.0509729158855554	5.38362237156658	0.527895022139236	0.603908787229085	0.847721530342078	-6.34832418477236
Pp2d1	-0.0520366671093998	5.57682547384336	-0.527880257870299	0.603918830925359	0.847721530342078	-6.34833209556942
Sctr	-0.0468317949470984	5.12517468424189	-0.527910844508646	0.603898023828565	0.847721530342078	-6.3483157067997
Sec24a	0.0433013055027891	8.89654007940688	0.528248386707322	0.603668428012442	0.847721530342078	-6.34813478560883
Syap1	0.0355048790538661	9.70099965838097	0.527991637161081	0.603843064889272	0.847721530342078	-6.34827241248402
Adgrb2	0.0356343371358254	4.97655362629045	0.527201245238847	0.604380831011559	0.848102115049611	-6.3486956834618
Fign	0.0176631960115911	4.65665052675434	0.527388320438518	0.604253527919235	0.848102115049611	-6.3485955564079
Gosr2	-0.0329983488457926	10.1450245334086	-0.526858824879357	0.60461387895758	0.848102115049611	-6.34887886569894
Ikbkg	0.0334977816947076	8.28338078373037	0.526955430880366	0.604548125434382	0.848102115049611	-6.34882719674283
Klhl23	-0.0340213482900499	4.8500324241436	-0.527131576847607	0.604428243096441	0.848102115049611	-6.34873296282566
Pum1	-0.0420991821496358	10.4960080163373	-0.52689068838944	0.604592191120887	0.848102115049611	-6.34886182476742
Snx11	0.0454766039941256	7.97498188944249	0.527283602397492	0.604324786053793	0.848102115049611	-6.34865160821346
Tmem256	0.0390177151185136	9.42103505241389	0.527060634691425	0.604476523887285	0.848102115049611	-6.34877091886973
Adgrl3	0.0308237193490615	4.86618532292259	0.526514940142422	0.604847967506093	0.848167485715425	-6.34906271519942
Ap5s1	0.0493288753107707	7.76467541034648	0.526608037985919	0.604784589775483	0.848167485715425	-6.34901295421977
Map3k3	-0.0389177368167976	7.9783127800645	-0.526246345143777	0.605030835601012	0.848167485715425	-6.34920623194836
Matn4	-0.026203725503528	4.6986534350273	-0.526405388027444	0.604922550858255	0.848167485715425	-6.34912126009524
Mrgpra5	-0.0210901385194226	4.6568743988323	-0.526236863400465	0.605037291566945	0.848167485715425	-6.34921129697376
Ppp1r1a	-0.0544022254923286	6.60469579613461	-0.526353025752868	0.604958200803277	0.848167485715425	-6.34914923844028
Svop	0.017275676705527	4.63256976819115	0.526167629085724	0.605084433108324	0.848167485715425	-6.34924827837292
Znrf1	-0.038881776271206	9.6721217272126	-0.526550284634158	0.604823905841761	0.848167485715425	-6.3490438245038
3110040N11Rik	-0.0464839976809559	6.42161775865121	-0.525974989516545	0.60521561049082	0.848277068561659	-6.34935115166769
1700056E22Rik	-0.0402571547732756	5.04260284487145	-0.525866398144822	0.605289561571769	0.848288897236976	-6.34940912548511
Pex3	-0.0689495566161272	6.13241616974075	-0.525806942650534	0.605330052817463	0.848288897236976	-6.34944086215059
Ncoa1	0.0291759181296286	9.32796270266939	0.525727681147857	0.605384034684349	0.848290270979076	-6.34948316562684
Casp12	-0.0489029351606312	4.94999916499356	-0.525304870684323	0.605672033605135	0.848369357323593	-6.3497087236996
Chrnb4	0.0271240665893975	4.8159098187313	0.525255734204972	0.605705507412477	0.848369357323593	-6.34973492528401
Mttp	0.0266760748366372	4.8569641462835	0.52534533707788	0.605644466893805	0.848369357323593	-6.34968714357569
Nars2	-0.0679066763633859	5.85934157725323	-0.525438281197306	0.605581153358768	0.848369357323593	-6.34963757176089
Ubxn10	0.0207563516420375	4.66404611119076	0.525498393249423	0.605540206738896	0.848369357323593	-6.34960550642537
C8b	-0.0400366641311078	5.04381713103069	-0.524966519105941	0.605902550919139	0.848387820999593	-6.34988909846415
Celf2	-0.0326919722507628	13.7924807399752	-0.525031314915382	0.605858402549545	0.848387820999593	-6.34985456463069
Cracd	-0.0154495212104174	4.57642451684811	-0.525069855358833	0.60583214391025	0.848387820999593	-6.34983402200176
Ctu1	0.0595301210536767	7.39586587064911	0.52492517626667	0.605930720515236	0.848387820999593	-6.34991113054915
Ccnq-ps2	0.0346777309584813	5.0260342819307	0.524662552338006	0.606109678305334	0.848442405774771	-6.35005104663541
Klra15	-0.0179848694699608	4.58103923882003	-0.524634582631217	0.606128738995859	0.848442405774771	-6.35006594383562
Rasgrp3	0.0240917737570041	4.64928304220449	0.524753445498043	0.606047738783437	0.848442405774771	-6.35000262988396
