gene	TX91_mean	TX91_mean_threshold	pass
Pon2	10.4512106299779	6.11716417170886	TRUE
Pygl	10.4384093896384	6.11716417170886	TRUE
Klf4	10.4348412804562	6.11716417170886	TRUE
Rpia	10.4309855291582	6.11716417170886	TRUE
Evi5	10.4171783965362	6.11716417170886	TRUE
Adrb2	10.4150112228314	6.11716417170886	TRUE
Fry	10.4136183793232	6.11716417170886	TRUE
Serbp1	10.4070590414051	6.11716417170886	TRUE
6430548M08Rik	10.4013437590981	6.11716417170886	TRUE
Rap1gap2	10.3997545371415	6.11716417170886	TRUE
Cyp4f16	10.3848360664524	6.11716417170886	TRUE
Tmpo	10.3519523167025	6.11716417170886	TRUE
Huwe1	10.3506411400757	6.11716417170886	TRUE
Tmem50b	10.346403507605	6.11716417170886	TRUE
Ear4	10.3454259892246	6.11716417170886	TRUE
Kdm6b	10.3435381679517	6.11716417170886	TRUE
Dock8	10.3379780273028	6.11716417170886	TRUE
Tmem176b	10.3228550906637	6.11716417170886	TRUE
Fkbp4	10.3224366066739	6.11716417170886	TRUE
Mgst1	10.3189523610054	6.11716417170886	TRUE
Lamtor4	10.3180840178717	6.11716417170886	TRUE
Scgb1a1	10.3091002029855	6.11716417170886	TRUE
Erlin1	10.2985980008987	6.11716417170886	TRUE
Rnf145	10.2983862850692	6.11716417170886	TRUE
Ripor2	10.2645290982746	6.11716417170886	TRUE
Tmem43	10.2565309325527	6.11716417170886	TRUE
Me2	10.2550405723625	6.11716417170886	TRUE
Tfdp1	10.2523752426827	6.11716417170886	TRUE
Vsir	10.2482339710203	6.11716417170886	TRUE
Clec10a	10.2303376659438	6.11716417170886	TRUE
Lpgat1	10.2229349775313	6.11716417170886	TRUE
Cyb5b	10.2086205797431	6.11716417170886	TRUE
Hook3	10.2064436105713	6.11716417170886	TRUE
Mcemp1	10.1609497096486	6.11716417170886	TRUE
Mid1ip1	10.1528340848427	6.11716417170886	TRUE
Ak3	10.1521976012821	6.11716417170886	TRUE
Cbfa2t3	10.1421859563234	6.11716417170886	TRUE
Reep5	10.1325139662877	6.11716417170886	TRUE
Napsa	10.132479016762	6.11716417170886	TRUE
Arhgap26	10.1297181045109	6.11716417170886	TRUE
Syncrip	10.1271938578726	6.11716417170886	TRUE
S1pr5	10.1259855068225	6.11716417170886	TRUE
Sqor	10.1122345165692	6.11716417170886	TRUE
Pigb	10.1101692024942	6.11716417170886	TRUE
Stk38	10.0963614300483	6.11716417170886	TRUE
Tmcc1	10.0958058092906	6.11716417170886	TRUE
Setx	10.0919182596946	6.11716417170886	TRUE
Nin	10.0761940104901	6.11716417170886	TRUE
Slc49a3	10.067626456347	6.11716417170886	TRUE
Pi16	10.0671278875273	6.11716417170886	TRUE
Usp48	10.0531750073726	6.11716417170886	TRUE
Cd177	10.045142255511	6.11716417170886	TRUE
Ints6l	10.037971939171	6.11716417170886	TRUE
Celsr3	10.0298229129647	6.11716417170886	TRUE
Ndrg1	10.0212335856059	6.11716417170886	TRUE
Bcl7c	10.0196542671461	6.11716417170886	TRUE
Mapre2	9.99025354685922	6.11716417170886	TRUE
Sdad1	9.98913727414367	6.11716417170886	TRUE
Cyp27a1	9.98214628662606	6.11716417170886	TRUE
Atp2c1	9.97575943200471	6.11716417170886	TRUE
Fam43a	9.95361345909687	6.11716417170886	TRUE
Mfsd6	9.94493346156511	6.11716417170886	TRUE
Klhdc2	9.94357538890708	6.11716417170886	TRUE
Kctd10	9.93654450818968	6.11716417170886	TRUE
Nfam1	9.92716383484969	6.11716417170886	TRUE
Nup210	9.91712121126088	6.11716417170886	TRUE
Eeig2	9.91429713378537	6.11716417170886	TRUE
Xpr1	9.90698823960016	6.11716417170886	TRUE
Cx3cr1	9.88036118578639	6.11716417170886	TRUE
Anp32a	9.87540622566013	6.11716417170886	TRUE
Zfp326	9.87507178343811	6.11716417170886	TRUE
Nemp2	9.86090624828873	6.11716417170886	TRUE
Mocos	9.8507378345157	6.11716417170886	TRUE
Hpgd	9.83634172035411	6.11716417170886	TRUE
Fam89b	9.83537933594733	6.11716417170886	TRUE
Insr	9.82986688485965	6.11716417170886	TRUE
Ear12	9.81049031173906	6.11716417170886	TRUE
Tspan14	9.80950200120128	6.11716417170886	TRUE
Sucla2	9.80215614115827	6.11716417170886	TRUE
Eeig1	9.79582023437783	6.11716417170886	TRUE
Mef2c	9.79064294639256	6.11716417170886	TRUE
Ash2l	9.78941664288599	6.11716417170886	TRUE
Usf3	9.78444101740238	6.11716417170886	TRUE
Scarb1	9.7792239059074	6.11716417170886	TRUE
Cyb5r1	9.7775008311828	6.11716417170886	TRUE
Slc46a3	9.76937798232501	6.11716417170886	TRUE
Slc12a6	9.75251056644529	6.11716417170886	TRUE
Man2a2	9.7370593626088	6.11716417170886	TRUE
Prep	9.72220955304693	6.11716417170886	TRUE
N4bp2l1	9.71143395912369	6.11716417170886	TRUE
Ralgapa1	9.70564996601626	6.11716417170886	TRUE
Ear3	9.69044925529278	6.11716417170886	TRUE
Rbpms	9.68971899209347	6.11716417170886	TRUE
Asap1	9.67399430045623	6.11716417170886	TRUE
Cd300a	9.65970441721329	6.11716417170886	TRUE
Niban1	9.65929011973303	6.11716417170886	TRUE
Rras	9.65663968370263	6.11716417170886	TRUE
