gene	log2FC_TX91_vs_Sham	FDR_TX91_vs_Sham	already_down_in_TX91	pass_step5
Gsto1	-0.244601977391673	0.54629765358095	FALSE	TRUE
Fry	-0.377313117679764	0.546428324440158	FALSE	TRUE
Rasgrp2	-0.619410698777491	0.554609955759576	FALSE	TRUE
Entpd5	-0.447206688774653	0.557602642910096	FALSE	TRUE
Abca3	-0.308600867593084	0.558816821065112	FALSE	TRUE
Dock5	-0.299025590298863	0.561174528582204	FALSE	TRUE
Elp1	-0.318125641172252	0.561174528582204	FALSE	TRUE
Setx	-0.257517401571407	0.567035015914929	FALSE	TRUE
Klf2	-0.386973803507717	0.572163376383766	FALSE	TRUE
Arrb1	-0.403155429341071	0.57337455696095	FALSE	TRUE
Mboat1	-0.357785839199133	0.575750817182382	FALSE	TRUE
Hipk1	-0.283421315182668	0.579285827570184	FALSE	TRUE
Ube2i	-0.217485758307769	0.580876638826907	FALSE	TRUE
Dennd2d	-0.4083115145309	0.580958232446463	FALSE	TRUE
Ugt1a7c	0.354437412582117	0.581140612699095	FALSE	TRUE
Fam107b	-0.312012255576089	0.581165436440765	FALSE	TRUE
Syne2	-0.479521240608389	0.589104871040835	FALSE	TRUE
Tbc1d2b	-0.273353354802623	0.590650992754256	FALSE	TRUE
Chsy1	0.257397911692516	0.594571616087049	FALSE	TRUE
Aplp2	-0.246674332412224	0.595126875824108	FALSE	TRUE
Plxdc1	-0.251923115817329	0.59798138679552	FALSE	TRUE
Rnf144a	-0.522377086685841	0.600827612892992	FALSE	TRUE
Mfsd6	-0.314139241698163	0.604344427355158	FALSE	TRUE
Ccno	0.503135812406366	0.604521367468353	FALSE	TRUE
Lrba	-0.426895096286794	0.604716771213573	FALSE	TRUE
Tfb1m	-0.484983609089367	0.605617721823503	FALSE	TRUE
Itga4	-0.29086993154176	0.606256123377737	FALSE	TRUE
Dock1	-0.39731448145835	0.606787145712512	FALSE	TRUE
1700025G04Rik	-0.45935241858508	0.60737104845657	FALSE	TRUE
Dusp18	-0.317959431134115	0.608124500118556	FALSE	TRUE
Mocos	0.2423978521834	0.608126546144462	FALSE	TRUE
Vsir	-0.270826944877504	0.608256996550912	FALSE	TRUE
Enkur	-0.529485393814468	0.61379084351474	FALSE	TRUE
Cebpz	-0.256599768407284	0.614691534962294	FALSE	TRUE
Wrn	-0.233196765015174	0.614691534962294	FALSE	TRUE
Vkorc1	-0.419860627641959	0.616320891821377	FALSE	TRUE
Kpna2	-0.302817372922284	0.618900153872717	FALSE	TRUE
Cd177	-0.410643945235384	0.622453193772954	FALSE	TRUE
Ear1	-0.295330232651615	0.625506448042361	FALSE	TRUE
Aco1	-0.248578918892981	0.626091056184897	FALSE	TRUE
Spcs3	-0.255300494231481	0.62833249026623	FALSE	TRUE
Sulf2	-0.314126135074503	0.629369422071266	FALSE	TRUE
Cyb5b	-0.204451221164057	0.630196093445277	FALSE	TRUE
Ctdspl	-0.480161801042962	0.631100814951449	FALSE	TRUE
Etfbkmt	-0.441272016544249	0.631100814951449	FALSE	TRUE
Hsp90ab1	0.192724880990903	0.631100814951449	FALSE	TRUE
Atp10d	-0.261300965756586	0.632735632186895	FALSE	TRUE
Evi5	-0.274712150443884	0.63832782006165	FALSE	TRUE
Fhip1b	-0.469683835815445	0.639275706209235	FALSE	TRUE
