gene_symbol	avg_log2FC	p_val	p_val_adj	pct_Tac1	pct_OtherNeu	p_val_adj_BH
Sephs2	0.303532920524589	1.1322238145632e-05	0.25939247591643	0.712	0.541	6.82291680210801e-05
Atp6v1b2	0.303512294643298	2.30730445751294e-07	0.00528603451216215	0.943	0.846	2.37136608715683e-06
Xkr4	0.303496415796007	0.000127380544647295	1	0.434	0.295	0.00054705501125089
Faf1	0.303462864160605	1.74382159815671e-06	0.0399509528137702	0.807	0.603	1.37739832563264e-05
Hoxb6	0.303462330590599	0.011615438689225	1	0.373	0.286	0.0287132066748923
Hddc3	0.303094374676514	0.0118771473604698	1	0.354	0.264	0.0292607894362842
Pgap4	0.302868967547926	2.83344998856629e-07	0.00649143392380536	0.896	0.818	2.85173031107317e-06
Cd99l2	0.302814386515398	0.00017072789181205	1	0.717	0.564	0.000704192097672365
Xkr8	0.302204141717855	0.0268015463363097	1	0.156	0.102	0.0599125662215972
Fgd5	0.302182374057451	2.83194470574878e-06	0.0648798532087047	0.41	0.238	2.07549236152864e-05
Prxl2b	0.302157046484461	0.000339718857523646	1	0.807	0.665	0.00125647076178093
Trappc2l	0.302074278052234	3.13950311750581e-06	0.0719260164220581	0.91	0.805	2.26666935822568e-05
Atp6v0c	0.302017876178061	4.57175968216186e-09	0.000104739014318328	1	0.988	7.9877785166732e-08
Itga2b	0.302006574239616	0.00217916220082959	1	0.396	0.273	0.00648937220075806
Ndufb1	0.30183481309677	2.94592728021087e-09	6.74911939896311e-05	0.986	0.91	5.49906425639363e-08
Fam185a	0.301812036390351	0.010144797743757	1	0.222	0.148	0.0253142353578243
Ppp4r4	0.301661987582439	0.00285185800933781	1	0.222	0.139	0.00823325564096996
Mrps27	0.301623588497868	3.17570808959528e-05	0.727554723326279	0.472	0.303	0.000165728708905044
Nefm	0.301343016791908	1.05735922583252e-09	2.42240998638229e-05	0.594	0.372	2.19930718973163e-08
Dgkb	0.301227935240901	0.00080756535830235	1	0.495	0.369	0.0027134196038959
Zfp28	0.300664596339502	0.0167529872658353	1	0.222	0.153	0.0394698211311589
Coq4	0.30046190539733	5.03903253730882e-05	1	0.632	0.434	0.000245378975729821
Prkaca	0.300425381475298	1.04149007694049e-05	0.238605376627066	0.925	0.792	6.3804048472315e-05
Sgsm1	0.300230760142305	3.30406572195758e-06	0.0756961456900482	0.59	0.4	2.36981265574889e-05
H1f10	0.300208055807357	4.05361983949116e-05	0.928684305227424	0.929	0.814	0.000204696086230028
Pfdn2	0.300170205286267	3.27415858235765e-09	7.50109731218138e-05	0.986	0.898	6.03439860242119e-08
Kif3c	0.300115832468039	0.000465556690253301	1	0.745	0.568	0.00166004214124605
Zfp551	0.300049182662717	0.0258514897149596	1	0.132	0.085	0.0579965624421898
Map1lc3a	0.299939637116209	1.76753982524942e-07	0.00404943373964643	0.991	0.945	1.86038890522638e-06
Map3k10	0.29987440383052	6.52166575777085e-06	0.14941136251053	0.797	0.623	4.29662685217844e-05
C1d	0.299846141430055	1.11444202038113e-08	0.000255318666869317	0.986	0.897	1.70205690385482e-07
Gm12802	0.299427171946632	0.0758703114592843	1	0.142	0.101	0.146962980245745
Tmem276	0.299409241055212	0.000238951604775653	1	0.811	0.696	0.000930250097736233
Cracdl	0.29937043768421	0.10730954317449	1	0.123	0.089	0.199204455837728
Zfp286	0.299071804963755	0.00403127966910568	1	0.297	0.195	0.0112352923960413
Ubiad1	0.299031051125157	0.00974037123636697	1	0.146	0.089	0.0244657513286089
Ephb1	0.298990917120707	0.000138258829777814	1	0.547	0.389	0.000585756128486412
Tafa5	0.298871629644041	0.000910603871798043	1	0.854	0.757	0.00300871233889096
Dnajc27	0.298801317332908	0.00173608971123746	1	0.519	0.376	0.0053327987754467
Arf3	0.298778384551213	1.61500310587025e-05	0.369997211554874	0.906	0.768	9.23342089848331e-05
Mterf3	0.298720301486059	0.00615266630272019	1	0.476	0.345	0.0164365584846429
Cux2	0.298662697213445	0.000101584173525934	1	0.491	0.335	0.000448654873570557
Ghr	0.298451941877097	0.000421606572727104	1	0.292	0.182	0.00152322374662696
2310061I04Rik	0.298254530462237	7.12672789864487e-06	0.163273336157954	0.755	0.561	4.6049626422013e-05
Etfbkmt	0.298249633448229	0.0158180421841509	1	0.193	0.13	0.0375710757261398
Pja2	0.298212824068657	2.66246241261675e-08	0.000609970138730496	0.962	0.874	3.71553860009902e-07
L3mbtl1	0.297863084977974	0.0106803168585032	1	0.146	0.091	0.0265367599760762
Gm16638	0.297814290426063	0.0656797581542904	1	0.132	0.092	0.130108473296118
Trmt10a	0.297763473129891	0.0223720114601134	1	0.311	0.231	0.0510825645884868
Ptges2	0.297692224089136	0.00148042084986068	1	0.689	0.523	0.00462552093862048
Slc41a2	0.297495854879668	0.009112126645997	1	0.297	0.217	0.023086873079881
Kank3	0.297353155700611	0.0411278602145549	1	0.264	0.195	0.0872493897120814
Dusp22	0.297313346407162	8.68282629414512e-06	0.198923550398865	0.561	0.373	5.44140391001806e-05
Eid2	0.29720048912862	1.9431128518522e-06	0.0445167154359338	0.958	0.847	1.50487888951957e-05
St6galnac5	0.297159978570096	4.40875698384246e-08	0.00101004622499831	0.42	0.227	5.58186971171706e-07
Lrrc75b	0.297078567402628	0.000128364142099101	1	0.453	0.306	0.000550240012452279
Ndrg4	0.296861487841767	4.14354033420436e-06	0.0949285090566219	0.929	0.805	2.91449020608771e-05
Macrod1	0.296733791224963	0.0770130565705006	1	0.118	0.081	0.148846473938029
Npnt	0.296591303533184	0.0118291912863115	1	0.208	0.141	0.0291590900330749
Acta1	0.296407859081165	0.0804690464947869	1	0.302	0.242	0.154500569269991
Capn10	0.296398805746988	2.01231021096046e-05	0.461020269331042	0.759	0.572	0.000111403941717051
Perp	0.296341718681692	0.000972528741863844	1	0.269	0.166	0.00318680085856059
Dipk1a	0.296149889463239	3.60995283579948e-05	0.82704019468166	0.844	0.712	0.000184208808256684
Ikzf4	0.296128411768925	0.00389765911377505	1	0.425	0.311	0.0109204458043421
Cmip	0.296060679528822	1.20246524852885e-05	0.27548478843796	0.934	0.75	7.16557736094682e-05
Nqo2	0.296041630850165	0.0930892658020054	1	0.189	0.142	0.175947171364414
Sdk1	0.296004312211589	0.0154631390451158	1	0.274	0.197	0.0368684450595337
Gm15706	0.295898656001447	0.0107874040614297	1	0.396	0.297	0.0267875957591387
Znhit2	0.295877588029053	3.9673621524118e-05	0.908922669117542	0.656	0.478	0.000201037562433117
Lrfn3	0.29579512864106	0.00583475376764079	1	0.5	0.369	0.0156645386951782
Tmem126a	0.295783597592252	2.45644157907637e-06	0.0562770765766396	0.896	0.763	1.83414304571035e-05
Ptprn2	0.295528787385961	5.85270473799047e-05	1	0.429	0.282	0.000276673314886822
Smim45	0.29548092093428	6.35616820278118e-05	1	0.67	0.494	0.000299178261958494
Rpp21	0.295449671958566	3.53036262167203e-05	0.808806076625061	0.877	0.739	0.000181205921638818
Zswim5	0.295132751929056	0.102710006339425	1	0.108	0.075	0.191561617288903
Htr7	0.294954227483761	0.0104541785752924	1	0.231	0.158	0.0260489743393482
Rwdd3	0.294831979794553	0.0125864941735379	1	0.231	0.155	0.0307654205652007
Zswim3	0.29453166822517	0.103672558548861	1	0.16	0.115	0.193109482192505
Sertad4	0.294391094209725	0.0133903065761241	1	0.316	0.231	0.0323679353207028
Srr	0.294352553337304	0.000759859394672788	1	0.467	0.341	0.00257092628654588
Chpf	0.294122020917304	0.000343354209058113	1	0.67	0.496	0.00126776938729149
Vstm2a	0.294101046326337	2.70202819652401e-05	0.619034659823652	0.585	0.416	0.000143060111059599
BB218582	0.29392783465789	0.00761190367777962	1	0.241	0.161	0.0197791762430347
2700038G22Rik	0.293793461547121	0.163802833031877	1	0.132	0.101	0.284150426800333
Ttll1	0.293761741044982	0.000118797310010338	1	0.797	0.646	0.00051478834337813
Vcpkmt	0.293685568054118	0.000375000862391392	1	0.434	0.292	0.00137301237797619
Guk1	0.293632545147466	1.49160018107058e-07	0.00341725601483269	0.939	0.84	1.6008131673013e-06
Necap1	0.293569515641467	2.33462211933837e-06	0.053486192754042	0.863	0.718	1.761248604019e-05
Fzr1	0.292916375011922	3.26960132191699e-05	0.749065662851183	0.849	0.691	0.000170019268739684
Nyap1	0.292420309138772	1.35641188131701e-05	0.310753962009728	0.731	0.541	7.96345039999022e-05
Gm57212	0.292401851453972	0.00674871282352037	1	0.193	0.124	0.0177902097846331
Dnajc6	0.292223959001141	3.54551360620788e-05	0.812277167182226	0.75	0.564	0.000181556898381196
2900060N12Rik	0.291824026316063	0.00201686687846273	1	0.179	0.104	0.0060966605710209
Noct	0.291697547034946	3.59371778372555e-05	0.823320744251525	0.731	0.557	0.000183594845372084
Trim32	0.291685139598648	7.61642821807192e-05	1	0.877	0.732	0.000350934160933946
Mkln1os	0.291569638019474	0.000973429788058812	1	0.311	0.201	0.0031873623045284
Gm16536	0.291535390776909	0.00557723669887007	1	0.288	0.198	0.0150751051365498
Nub1	0.291413439407054	0.000200592104882659	1	0.731	0.571	0.000799747429976005
Tmem14a	0.291354463505178	0.00355693164211416	1	0.623	0.495	0.0100236628469385
Dtd2	0.291307750748267	0.0043991527581169	1	0.665	0.532	0.0121004403321503
Zfp646	0.291246053469159	0.114298370895426	1	0.151	0.112	0.209947554277216
Dusp12	0.291230759003572	4.66482261785857e-05	1	0.561	0.379	0.000229717533199619
