Term	Ont	N	DE	P.DE	FDR	ratio
GO:0006813	potassium ion transport	BP	71	17	0.00226879264854263	0.229264405843756	0.23943661971831
GO:0006576	biogenic amine metabolic process	BP	27	9	0.00230325100406293	0.231264005274191	0.333333333333333
GO:0043235	receptor complex	CC	102	22	0.00235686279462204	0.235149272749506	0.215686274509804
GO:0006812	monoatomic cation transport	BP	273	47	0.00246636596597791	0.24452700055142	0.172161172161172
GO:0016782	transferase activity, transferring sulphur-containing groups	MF	18	7	0.00262900081904366	0.259022305696276	0.388888888888889
GO:0006811	monoatomic ion transport	BP	318	53	0.00275969397907515	0.27021003655988	0.166666666666667
GO:0006939	smooth muscle contraction	BP	33	10	0.00296624276469004	0.286673323187262	0.303030303030303
GO:0045777	positive regulation of blood pressure	BP	14	6	0.00302047082135566	0.286673323187262	0.428571428571429
GO:0099003	vesicle-mediated transport in synapse	BP	104	22	0.00304704862594312	0.286673323187262	0.211538461538462
GO:0033605	positive regulation of catecholamine secretion	BP	10	5	0.00305437431612148	0.286673323187262	0.5
GO:0007271	synaptic transmission, cholinergic	BP	10	5	0.00305437431612148	0.286673323187262	0.5
GO:0008227	G protein-coupled amine receptor activity	MF	10	5	0.00305437431612148	0.286673323187262	0.5
GO:0009308	amine metabolic process	BP	28	9	0.00305513310679143	0.286673323187262	0.321428571428571
GO:0044057	regulation of system process	BP	198	36	0.00309725533772133	0.288906113277154	0.181818181818182
GO:0099565	chemical synaptic transmission, postsynaptic	BP	50	13	0.00339641000350518	0.314947101736798	0.26
GO:0099634	postsynaptic specialization membrane	CC	86	19	0.00344875636978903	0.317930967329557	0.22093023255814
GO:0007600	sensory perception	BP	125	25	0.00364762832065815	0.3343093770166	0.2
GO:0098878	neurotransmitter receptor complex	CC	19	7	0.00375622774199253	0.338360994998687	0.368421052631579
GO:0032590	dendrite membrane	CC	19	7	0.00375622774199253	0.338360994998687	0.368421052631579
GO:0098688	parallel fiber to Purkinje cell synapse	CC	19	7	0.00375622774199253	0.338360994998687	0.368421052631579
GO:0048018	receptor ligand activity	MF	93	20	0.00379767488217942	0.340150834333388	0.21505376344086
GO:0002027	regulation of heart rate	BP	29	9	0.00398795188437145	0.355175556526731	0.310344827586207
GO:0032589	neuron projection membrane	CC	24	8	0.00402231228224029	0.356223206838404	0.333333333333333
GO:0034220	monoatomic ion transmembrane transport	BP	258	44	0.00405107777468764	0.356697791229845	0.170542635658915
GO:0046873	metal ion transmembrane transporter activity	MF	126	25	0.00407292580698884	0.356697791229845	0.198412698412698
GO:0005615	extracellular space	CC	244	42	0.00416668582092451	0.362893012602508	0.172131147540984
GO:0030003	intracellular monoatomic cation homeostasis	BP	120	24	0.00435441958149392	0.373848547813194	0.2
GO:0051050	positive regulation of transport	BP	281	47	0.0044406685629452	0.373848547813194	0.167259786476868
GO:0060632	regulation of microtubule-based movement	BP	15	6	0.00455120128899615	0.373848547813194	0.4
GO:0017046	peptide hormone binding	MF	15	6	0.00455120128899615	0.373848547813194	0.4
GO:0008324	monoatomic cation transmembrane transporter activity	MF	154	29	0.00456707523288429	0.373848547813194	0.188311688311688
GO:0014072	response to isoquinoline alkaloid	BP	7	4	0.0045770597391491	0.373848547813194	0.571428571428571
GO:0043278	response to morphine	BP	7	4	0.0045770597391491	0.373848547813194	0.571428571428571
GO:1990708	conditioned place preference	BP	7	4	0.0045770597391491	0.373848547813194	0.571428571428571
GO:0032222	regulation of synaptic transmission, cholinergic	BP	7	4	0.0045770597391491	0.373848547813194	0.571428571428571
GO:0003352	regulation of cilium movement	BP	7	4	0.0045770597391491	0.373848547813194	0.571428571428571
GO:0009220	pyrimidine ribonucleotide biosynthetic process	BP	7	4	0.0045770597391491	0.373848547813194	0.571428571428571
GO:0098664	G protein-coupled serotonin receptor signaling pathway	BP	7	4	0.0045770597391491	0.373848547813194	0.571428571428571
GO:0022836	gated channel activity	MF	76	17	0.00484527497915527	0.3937160555227	0.223684210526316
GO:0030546	signaling receptor activator activity	MF	95	20	0.00490357005681384	0.396409632695454	0.210526315789474
GO:0019898	extrinsic component of membrane	CC	64	15	0.00501487968931838	0.403339609298036	0.234375
GO:1903305	regulation of regulated secretory pathway	BP	41	11	0.00530096427460236	0.41139546234213	0.268292682926829
GO:0006873	intracellular monoatomic ion homeostasis	BP	122	24	0.00541938884803561	0.41139546234213	0.19672131147541
GO:0006887	exocytosis	BP	109	22	0.00554695269760204	0.41139546234213	0.201834862385321
GO:1901317	regulation of flagellated sperm motility	BP	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0046035	CMP metabolic process	BP	4	3	0.00555869281139772	0.41139546234213	0.75
