ENTREZID	SYMBOL	GENENAME	baseMean	log2FC_shrink	lfcSE	pvalue	FDR	log2FC_raw	pvalue_raw
78749	Filip1l	filamin A interacting protein 1-like	109.837919546551	0.316808781960591	0.197486006622602	0.108370931733656	0.215083818110966	0.38840905614313	0.108370931733656
81489	Dnajb1	DnaJ heat shock protein family (Hsp40) member B1	3091.42187016523	0.400193716166819	0.250448062896746	0.108483074252293	0.215265481128903	0.675557033561356	0.108483074252293
12631	Cfl1	cofilin 1, non-muscle	2661.18877025115	-0.280081614345989	0.174472472429097	0.108489667476566	0.215265481128903	-0.323822099474388	0.108489667476566
210673	Prrt3	proline-rich transmembrane protein 3	104.118163323391	-0.410648441175511	0.255042967640075	0.10852219407422	0.215289140075279	-0.836309341087528	0.10852219407422
69270	Gins1	GINS complex subunit 1	51.9274495113201	0.272864765327297	0.170133046269957	0.108528798149916	0.215289140075279	0.313011727998895	0.108528798149916
225467	Pggt1b	protein geranylgeranyltransferase type I, beta subunit	155.374977287063	0.403744296602555	0.253239096733616	0.108550458401175	0.215305120272841	0.725517539735925	0.108550458401175
72500	Ier5l	immediate early response 5-like	50.1631727380422	-0.377853071259896	0.234986468990955	0.108601388975963	0.215325179395338	-0.542875469341235	0.108601388975963
71970	Zbed5	zinc finger BED-type containing 5	110.774599210761	0.34503067138483	0.215260945747587	0.108599275001134	0.215325179395338	0.449649099952876	0.108599275001134
234889	Gucy1a2	guanylate cyclase 1, soluble, alpha 2	726.459820486033	0.330090984701082	0.205858447298954	0.108594415939755	0.215325179395338	0.415342053768333	0.108594415939755
12512	Cd63	CD63 antigen	1066.99115092435	0.373778901384797	0.233394940376592	0.108662169360884	0.215391719978124	0.533514045225641	0.108662169360884
14904	Gtpbp1	GTP binding protein 1	235.793663912067	-0.294506250893333	0.18350530101542	0.10866137594662	0.215391719978124	-0.347429371357756	0.10866137594662
22642	Zbtb17	zinc finger and BTB domain containing 17	114.615359887447	-0.410340458097415	0.255042271968096	0.108762091699666	0.215510415720265	-0.80122866930582	0.108762091699666
