"ENTREZID","SYMBOL","GENENAME","baseMean","log2FC_shrink","lfcSE","pvalue","FDR","log2FC_raw","pvalue_raw"
"73288","Vps50","VPS50 EARP/GARPII complex subunit",1409.36118225042,0.333468220900489,0.196604939595779,0.0900357812959364,0.426088915571426,0.533285801192128,0.0900357812959364
"70575","Gfod2","glucose-fructose oxidoreductase domain containing 2",262.241527358463,-0.309196917231312,0.182480090752365,0.0900540855790254,0.426088915571426,-0.43009795540345,0.0900540855790254
"73739","Cby1","chibby family member 1, beta catenin antagonist",209.067000608444,-0.279370574746575,0.164782440153799,0.0900581011604025,0.426088915571426,-0.352656538160697,0.0900581011604025
"75747","Sesn3","sestrin 3",122.564611124501,-0.215942097323156,0.127340981119652,0.0900288300099544,0.426088915571426,-0.242739898963355,0.0900288300099544
"105670","Rcbtb2","regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2",424.103122395994,-0.162553964153874,0.0958699299523532,0.0899984022465255,0.426088915571426,-0.172778334338221,0.0899984022465255
"229474","Fhdc1","FH2 domain containing 1",47.9355628691701,-0.305710616694457,0.180127828673031,0.0901618198449113,0.426194868190528,-0.417977094585748,0.0901618198449113
"73047","Camk2n2","calcium/calmodulin-dependent protein kinase II inhibitor 2",1157.90100811549,0.188268917141429,0.111086859879687,0.0901085056892995,0.426194868190528,0.204970143370014,0.0901085056892995
"19182","Psmc3","proteasome (prosome, macropain) 26S subunit, ATPase 3",3240.17495580818,0.115994752444578,0.0684485742944493,0.0901450797882145,0.426194868190528,0.11949216715364,0.0901450797882145
"12466","Cct6a","chaperonin containing TCP1 subunit 6A",505.30913196384,-0.337130925315235,0.200790274049066,0.0902343595675844,0.426409558497614,-0.799335657648843,0.0902343595675844
"216198","Tcp11l2","t-complex 11 (mouse) like 2",804.270626382203,0.334306326110353,0.197279832052681,0.0903224997137253,0.426484341972405,0.540371400368144,0.0903224997137253
"73571","1700096K18Rik","RIKEN cDNA 1700096K18 gene",34.4398476476504,0.331849937198749,0.196297893619503,0.0904400709919855,0.426484341972405,0.529534977634742,0.0904400709919855
"50755","Fbh1","F-box DNA helicase 1",551.421380149887,-0.303469207301156,0.179305877664252,0.0904281735360028,0.426484341972405,-0.41328184919528,0.0904281735360028
"18669","Abcb1b","ATP-binding cassette, sub-family B member 1B",42.8327650086132,0.287899033199807,0.170342361970943,0.0904068065056313,0.426484341972405,0.373608666207921,0.0904068065056313
"17260","Mef2c","myocyte enhancer factor 2C",528.60281901471,0.233332489533037,0.137789518792279,0.0903469443260716,0.426484341972405,0.269074687696741,0.0903469443260716
