probe_id	colleague_log2FC	colleague_padj	ours_log2FC	ours_padj	status
ILMN_1213804	-0.779873916654914	0.924200122236877	-0.00715850019773079	0.992166579206169	ns
ILMN_1213805	0.0814640159859641	0.977287506850634	0.00524395754516149	0.990995876641776	ns
ILMN_1213808	0	NA	-0.368335027498667	0.116117502021319	ns
ILMN_1213809	0	NA	-0.691488214545309	0.00866875285237425	ns
ILMN_1213811	0.223015869793328	0.960904712358846	-0.0531649450518996	0.884044263735949	ns
ILMN_1213815	-0.583562604987259	0.834540291442405	0.0740349057733969	0.80919218345475	ns
ILMN_1213816	0.119816203433423	0.973080849699498	0.0108680001671662	0.979707966692956	ns
ILMN_1213824	0	NA	2.33253676281537	1.23896100045136e-08	ns
ILMN_1213836	-2.80735457482155	0.856057033413686	0.548504744718404	0.528209497950583	ns
ILMN_1213838	0	NA	-1.16499317270778	0.00211339357446161	ns
